name,capacity,quiet,tv,projector,date_time,available_places
2.31,2,yes,yes,no,01/01/2022 10:00,2
2.32,3,yes,no,no,01/01/2022 10:00,3
2.35,8,no,no,no,01/01/2022 10:00,8
2.4,2,yes,yes,no,01/01/2022 10:00,2
2.6,4,yes,no,yes,01/01/2022 10:00,4
2.71,4,no,no,no,01/01/2022 10:00,4
3.01,35,no,yes,no,01/01/2022 10:00,35
3.1,7,no,yes,no,01/01/2022 10:00,7
3.22,3,yes,no,no,01/01/2022 10:00,3
3.33,5,yes,no,no,01/01/2022 10:00,5
3.35,12,yes,no,yes,01/01/2022 10:00,12
3.4,15,no,yes,yes,01/01/2022 10:00,15
3.5,17,no,no,no,01/01/2022 10:00,17
3.6,4,yes,no,no,01/01/2022 10:00,4
